=== 20220319 10:26 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
07:43 | 20220319/f_73 | 2048 |         0.05 |   1.2 |     256 |     0.001 | Disabled   | Linear trimers | Both | (74 / 144)	 Chunks: 8
09:16 | 20220319/f_74 | 2048 |         0.05 |   1.2 |     256 |     0.001 | Disabled   | Trimers | Both | (75 / 144)	 Chunks: 7
11:53 | 20220319/f_75 | 2048 |         0.05 |   1.2 |     256 |     0.001 | Disabled   | Squared | Both | (76 / 144)	 Chunks: 6
12:50 | 20220319/f_76 | 2048 |          0.1 |   1.2 |     256 |     0.001 | Disabled   | Dimers | Both | (77 / 144)	 Chunks: 13
15:28 | 20220319/f_77 | 2048 |          0.1 |   1.2 |     256 |     0.001 | Disabled   | Linear trimers | Both | (78 / 144)	 Chunks: 8
16:53 | 20220319/f_78 | 2048 |          0.1 |   1.2 |     256 |     0.001 | Disabled   | Trimers | Both | (79 / 144)	 Chunks: 6
18:56 | 20220319/f_79 | 2048 |          0.1 |   1.2 |     256 |     0.001 | Disabled   | Squared | Both | (80 / 144)	 Chunks: 6
20:00 | 20220319/f_80 | 2048 |          0.2 |   1.2 |     256 |     0.001 | Disabled   | Dimers | Both | (81 / 144)	 Chunks: 5
21:10 | 20220319/f_81 | 2048 |          0.2 |   1.2 |     256 |     0.001 | Disabled   | Linear trimers | Both | (82 / 144)	 Chunks: 43
05:58 | 20220319/f_82 | 2048 |          0.2 |   1.2 |     256 |     0.001 | Disabled   | Trimers | Both | (83 / 144)	 Chunks: 5
07:48 | 20220319/f_83 | 2048 |          0.2 |   1.2 |     256 |     0.001 | Disabled   | Squared | Both | (84 / 144)	 Chunks: 8
09:01 | 20220319/f_84 | 2048 |         0.05 |   1.6 |     256 |     0.001 | Disabled   | Dimers | Both | (85 / 144)	 Chunks: 11
11:11 | 20220319/f_85 | 2048 |         0.05 |   1.6 |     256 |     0.001 | Disabled   | Linear trimers | Both | (86 / 144)	 Chunks: 9
13:12 | 20220319/f_86 | 2048 |         0.05 |   1.6 |     256 |     0.001 | Disabled   | Trimers | Both | (87 / 144)	 Chunks: 11
17:38 | 20220319/f_87 | 2048 |         0.05 |   1.6 |     256 |     0.001 | Disabled   | Squared | Both | (88 / 144)	 Chunks: 15
19:51 | 20220319/f_88 | 2048 |          0.1 |   1.6 |     256 |     0.001 | Disabled   | Dimers | Both | (89 / 144)	 Chunks: 14
22:25 | 20220319/f_89 | 2048 |          0.1 |   1.6 |     256 |     0.001 | Disabled   | Linear trimers | Both | (90 / 144)	 Chunks: 6
23:29 | 20220319/f_90 | 2048 |          0.1 |   1.6 |     256 |     0.001 | Disabled   | Trimers | Both | (91 / 144)	 Chunks: 5
01:01 | 20220319/f_91 | 2048 |          0.1 |   1.6 |     256 |     0.001 | Disabled   | Squared | Both | (92 / 144)	 Chunks: 13
02:32 | 20220319/f_92 | 2048 |          0.2 |   1.6 |     256 |     0.001 | Disabled   | Dimers | Both | (93 / 144)	 Chunks: 12
04:13 | 20220319/f_93 | 2048 |          0.2 |   1.6 |     256 |     0.001 | Disabled   | Linear trimers | Both | (94 / 144)	 Chunks: 10
05:39 | 20220319/f_94 | 2048 |          0.2 |   1.6 |     256 |     0.001 | Disabled   | Trimers | Both | (95 / 144)	 Chunks: 4
06:41 | 20220319/f_95 | 2048 |          0.2 |   1.6 |     256 |     0.001 | Disabled   | Squared | Both | (96 / 144)	 Chunks: 9
07:41 | 20220319/f_96 | 4096 |         0.05 |   0.4 |     256 |     0.001 | Disabled   | Dimers | Both | (97 / 144)	 Chunks: 8
