=== 20220712 20:31 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
13:41 | 20220712/f_94 |  128 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (95 / 288)	 Replicas: 128000
13:52 | 20220712/f_95 |  128 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Squared | Disabled | (96 / 288)	 Replicas: 8000
13:52 | 20220712/f_96 |  256 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (97 / 288)	 Replicas: 32000
14:03 | 20220712/f_97 |  256 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (98 / 288)	 Replicas: 64000
14:47 | 20220712/f_98 |  256 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (99 / 288)	 Replicas: 8000
14:50 | 20220712/f_99 |  256 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (100 / 288)	 Replicas: 64000
15:06 | 0220712/f_100 |  256 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (101 / 288)	 Replicas: 128000
15:48 | 0220712/f_101 |  256 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (102 / 288)	 Replicas: 4000
15:50 | 0220712/f_102 |  256 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (103 / 288)	 Replicas: 8000
15:53 | 0220712/f_103 |  256 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (104 / 288)	 Replicas: 512000
18:04 | 0220712/f_104 |  256 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (105 / 288)	 Replicas: 8000
18:06 | 0220712/f_105 |  256 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (106 / 288)	 Replicas: 4000
18:09 | 0220712/f_106 |  256 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (107 / 288)	 Replicas: 512000
