=== 20220321 06:47 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
15:54 | 0220321/f_134 |  512 |            0 |   1.6 |     512 |     0.001 | Disabled   | Trimers | Both | (135 / 176)	 Chunks: 10
16:17 | 0220321/f_135 |  512 |            0 |   1.6 |     512 |     0.001 | Disabled   | Squared | Both | (136 / 176)	 Chunks: 6
16:27 | 0220321/f_136 |  512 |          0.1 |   1.6 |     512 |     0.001 | Disabled   | Dimers | Both | (137 / 176)	 Chunks: 3
16:32 | 0220321/f_137 |  512 |          0.1 |   1.6 |     512 |     0.001 | Disabled   | Linear trimers | Both | (138 / 176)	 Chunks: 13
16:54 | 0220321/f_138 |  512 |          0.1 |   1.6 |     512 |     0.001 | Disabled   | Trimers | Both | (139 / 176)	 Chunks: 9
17:15 | 0220321/f_139 |  512 |          0.1 |   1.6 |     512 |     0.001 | Disabled   | Squared | Both | (140 / 176)	 Chunks: 6
17:24 | 0220321/f_140 |  512 |          0.2 |   1.6 |     512 |     0.001 | Disabled   | Dimers | Both | (141 / 176)	 Chunks: 11
17:43 | 0220321/f_141 |  512 |          0.2 |   1.6 |     512 |     0.001 | Disabled   | Linear trimers | Both | (142 / 176)	 Chunks: 12
18:04 | 0220321/f_142 |  512 |          0.2 |   1.6 |     512 |     0.001 | Disabled   | Trimers | Both | (143 / 176)	 Chunks: 10
18:26 | 0220321/f_143 |  512 |          0.2 |   1.6 |     512 |     0.001 | Disabled   | Squared | Both | (144 / 176)	 Chunks: 16
18:52 | 0220321/f_144 |  512 |          0.3 |   1.6 |     512 |     0.001 | Disabled   | Dimers | Both | (145 / 176)	 Chunks: 17
19:20 | 0220321/f_145 |  512 |          0.3 |   1.6 |     512 |     0.001 | Disabled   | Linear trimers | Both | (146 / 176)	 Chunks: 9
19:35 | 0220321/f_146 |  512 |          0.3 |   1.6 |     512 |     0.001 | Disabled   | Trimers | Both | (147 / 176)	 Chunks: 3
19:42 | 0220321/f_147 |  512 |          0.3 |   1.6 |     512 |     0.001 | Disabled   | Squared | Both | (148 / 176)	 Chunks: 6
19:51 | 0220321/f_148 |  512 |          0.4 |   1.6 |     512 |     0.001 | Disabled   | Dimers | Both | (149 / 176)	 Chunks: 8
20:05 | 0220321/f_149 |  512 |          0.4 |   1.6 |     512 |     0.001 | Disabled   | Linear trimers | Both | (150 / 176)	 Chunks: 11
20:23 | 0220321/f_150 |  512 |          0.4 |   1.6 |     512 |     0.001 | Disabled   | Trimers | Both | (151 / 176)	 Chunks: 15
20:55 | 0220321/f_151 |  512 |          0.4 |   1.6 |     512 |     0.001 | Disabled   | Squared | Both | (152 / 176)	 Chunks: 6
21:04 | 0220321/f_152 |  512 |          0.5 |   1.6 |     512 |     0.001 | Disabled   | Dimers | Both | (153 / 176)	 Chunks: 9
21:19 | 0220321/f_153 |  512 |          0.5 |   1.6 |     512 |     0.001 | Disabled   | Linear trimers | Both | (154 / 176)	 Chunks: 12
21:38 | 0220321/f_154 |  512 |          0.5 |   1.6 |     512 |     0.001 | Disabled   | Trimers | Both | (155 / 176)	 Chunks: 7
21:52 | 0220321/f_155 |  512 |          0.5 |   1.6 |     512 |     0.001 | Disabled   | Squared | Both | (156 / 176)	 Chunks: 6
22:02 | 0220321/f_156 |  512 |          0.6 |   1.6 |     512 |     0.001 | Disabled   | Dimers | Both | (157 / 176)	 Chunks: 8
22:15 | 0220321/f_157 |  512 |          0.6 |   1.6 |     512 |     0.001 | Disabled   | Linear trimers | Both | (158 / 176)	 Chunks: 4
22:21 | 0220321/f_158 |  512 |          0.6 |   1.6 |     512 |     0.001 | Disabled   | Trimers | Both | (159 / 176)	 Chunks: 17
