=== 20220911 14:52 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
00:59 | 20220911/f_94 |  128 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (95 / 288)	 Replicas: 128000
01:06 | 20220911/f_95 |  128 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Squared | Disabled | (96 / 288)	 Replicas: 128000
01:12 | 20220911/f_96 |  256 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (97 / 288)	 Replicas: 16000
01:16 | 20220911/f_97 |  256 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (98 / 288)	 Replicas: 128000
02:34 | 20220911/f_98 |  256 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (99 / 288)	 Replicas: 256000
03:47 | 20220911/f_99 |  256 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (100 / 288)	 Replicas: 64000
04:00 | 0220911/f_100 |  256 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (101 / 288)	 Replicas: 8000
04:02 | 0220911/f_101 |  256 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (102 / 288)	 Replicas: 16000
04:11 | 0220911/f_102 |  256 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (103 / 288)	 Replicas: 256000
05:22 | 0220911/f_103 |  256 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (104 / 288)	 Replicas: 4000
05:22 | 0220911/f_104 |  256 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (105 / 288)	 Replicas: 32000
05:30 | 0220911/f_105 |  256 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (106 / 288)	 Replicas: 512000
09:55 | 0220911/f_106 |  256 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (107 / 288)	 Replicas: 512000
12:02 | 0220911/f_107 |  256 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (108 / 288)	 Replicas: 1024000
15:09 | 0220911/f_108 |  256 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (109 / 288)	 Replicas: 32000
15:17 | 0220911/f_109 |  256 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (110 / 288)	 Replicas: 256000
17:52 | 0220911/f_110 |  256 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (111 / 288)	 Replicas: 128000
18:28 | 0220911/f_111 |  256 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (112 / 288)	 Replicas: 256000
