=== 20220205 18:37 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_REPLIES | CORR_RANGE | POLYMERS | PERCOLATION
19:21 |  20220207_103 |  256 |          0.1 |   0.4 |      1024 | Disabled   | Squared | Both | 
19:22 |  20220207_104 |  256 |          0.2 |   0.4 |      1024 | Disabled   | Dimers | Both | 
19:23 |  20220207_105 |  256 |          0.2 |   0.4 |      1024 | Disabled   | Trimers | Both | 
19:24 |  20220207_106 |  256 |          0.2 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
19:25 |  20220207_107 |  256 |          0.2 |   0.4 |      1024 | Disabled   | Squared | Both | 
19:26 |  20220207_108 |  256 |         0.05 |   0.8 |      1024 | Disabled   | Dimers | Both | 
19:26 |  20220207_109 |  256 |         0.05 |   0.8 |      1024 | Disabled   | Trimers | Both | 
19:27 |  20220207_110 |  256 |         0.05 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
19:28 |  20220207_111 |  256 |         0.05 |   0.8 |      1024 | Disabled   | Squared | Both | 
19:29 |  20220207_112 |  256 |          0.1 |   0.8 |      1024 | Disabled   | Dimers | Both | 
19:30 |  20220207_113 |  256 |          0.1 |   0.8 |      1024 | Disabled   | Trimers | Both | 
19:31 |  20220207_114 |  256 |          0.1 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
19:32 |  20220207_115 |  256 |          0.1 |   0.8 |      1024 | Disabled   | Squared | Both | 
19:33 |  20220207_116 |  256 |          0.2 |   0.8 |      1024 | Disabled   | Dimers | Both | 
19:33 |  20220207_117 |  256 |          0.2 |   0.8 |      1024 | Disabled   | Trimers | Both | 
19:34 |  20220207_118 |  256 |          0.2 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
19:35 |  20220207_119 |  256 |          0.2 |   0.8 |      1024 | Disabled   | Squared | Both | 
19:36 |  20220207_120 |  256 |         0.05 |   1.2 |      1024 | Disabled   | Dimers | Both | 
19:37 |  20220207_121 |  256 |         0.05 |   1.2 |      1024 | Disabled   | Trimers | Both | 
19:38 |  20220207_122 |  256 |         0.05 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
19:39 |  20220207_123 |  256 |         0.05 |   1.2 |      1024 | Disabled   | Squared | Both | 
19:40 |  20220207_124 |  256 |          0.1 |   1.2 |      1024 | Disabled   | Dimers | Both | 
19:40 |  20220207_125 |  256 |          0.1 |   1.2 |      1024 | Disabled   | Trimers | Both | 
19:41 |  20220207_126 |  256 |          0.1 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
19:42 |  20220207_127 |  256 |          0.1 |   1.2 |      1024 | Disabled   | Squared | Both | 
19:43 |  20220207_128 |  256 |          0.2 |   1.2 |      1024 | Disabled   | Dimers | Both | 
19:44 |  20220207_129 |  256 |          0.2 |   1.2 |      1024 | Disabled   | Trimers | Both | 
19:45 |  20220207_130 |  256 |          0.2 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
19:46 |  20220207_131 |  256 |          0.2 |   1.2 |      1024 | Disabled   | Squared | Both | 
19:47 |  20220207_132 |  256 |         0.05 |   1.6 |      1024 | Disabled   | Dimers | Both | 
19:47 |  20220207_133 |  256 |         0.05 |   1.6 |      1024 | Disabled   | Trimers | Both | 
19:48 |  20220207_134 |  256 |         0.05 |   1.6 |      1024 | Disabled   | Linear trimers | Both | 
19:49 |  20220207_135 |  256 |         0.05 |   1.6 |      1024 | Disabled   | Squared | Both | 
19:50 |  20220207_136 |  256 |          0.1 |   1.6 |      1024 | Disabled   | Dimers | Both | 
19:51 |  20220207_137 |  256 |          0.1 |   1.6 |      1024 | Disabled   | Trimers | Both | 
19:52 |  20220207_138 |  256 |          0.1 |   1.6 |      1024 | Disabled   | Linear trimers | Both | 
19:53 |  20220207_139 |  256 |          0.1 |   1.6 |      1024 | Disabled   | Squared | Both | 
19:54 |  20220207_140 |  256 |          0.2 |   1.6 |      1024 | Disabled   | Dimers | Both | 
19:55 |  20220207_141 |  256 |          0.2 |   1.6 |      1024 | Disabled   | Trimers | Both | 
19:56 |  20220207_142 |  256 |          0.2 |   1.6 |      1024 | Disabled   | Linear trimers | Both | 
19:56 |  20220207_143 |  256 |          0.2 |   1.6 |      1024 | Disabled   | Squared | Both | 
19:57 |  20220207_144 |  512 |         0.05 |   0.4 |      1024 | Disabled   | Dimers | Both | 
20:01 |  20220207_145 |  512 |         0.05 |   0.4 |      1024 | Disabled   | Trimers | Both | 
20:06 |  20220207_146 |  512 |         0.05 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
20:09 |  20220207_147 |  512 |         0.05 |   0.4 |      1024 | Disabled   | Squared | Both | 
20:12 |  20220207_148 |  512 |          0.1 |   0.4 |      1024 | Disabled   | Dimers | Both | 
20:16 |  20220207_149 |  512 |          0.1 |   0.4 |      1024 | Disabled   | Trimers | Both | 
20:21 |  20220207_150 |  512 |          0.1 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
20:24 |  20220207_151 |  512 |          0.1 |   0.4 |      1024 | Disabled   | Squared | Both | 
20:27 |  20220207_152 |  512 |          0.2 |   0.4 |      1024 | Disabled   | Dimers | Both | 
20:31 |  20220207_153 |  512 |          0.2 |   0.4 |      1024 | Disabled   | Trimers | Both | 
20:35 |  20220207_154 |  512 |          0.2 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
20:39 |  20220207_155 |  512 |          0.2 |   0.4 |      1024 | Disabled   | Squared | Both | 
20:42 |  20220207_156 |  512 |         0.05 |   0.8 |      1024 | Disabled   | Dimers | Both | 
20:46 |  20220207_157 |  512 |         0.05 |   0.8 |      1024 | Disabled   | Trimers | Both | 
20:50 |  20220207_158 |  512 |         0.05 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
20:54 |  20220207_159 |  512 |         0.05 |   0.8 |      1024 | Disabled   | Squared | Both | 
20:57 |  20220207_160 |  512 |          0.1 |   0.8 |      1024 | Disabled   | Dimers | Both | 
21:00 |  20220207_161 |  512 |          0.1 |   0.8 |      1024 | Disabled   | Trimers | Both | 
21:05 |  20220207_162 |  512 |          0.1 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
21:08 |  20220207_163 |  512 |          0.1 |   0.8 |      1024 | Disabled   | Squared | Both | 
21:12 |  20220207_164 |  512 |          0.2 |   0.8 |      1024 | Disabled   | Dimers | Both | 
21:15 |  20220207_165 |  512 |          0.2 |   0.8 |      1024 | Disabled   | Trimers | Both | 
21:19 |  20220207_166 |  512 |          0.2 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
21:23 |  20220207_167 |  512 |          0.2 |   0.8 |      1024 | Disabled   | Squared | Both | 
21:26 |  20220207_168 |  512 |         0.05 |   1.2 |      1024 | Disabled   | Dimers | Both | 
21:30 |  20220207_169 |  512 |         0.05 |   1.2 |      1024 | Disabled   | Trimers | Both | 
21:34 |  20220207_170 |  512 |         0.05 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
21:38 |  20220207_171 |  512 |         0.05 |   1.2 |      1024 | Disabled   | Squared | Both | 
21:41 |  20220207_172 |  512 |          0.1 |   1.2 |      1024 | Disabled   | Dimers | Both | 
21:44 |  20220207_173 |  512 |          0.1 |   1.2 |      1024 | Disabled   | Trimers | Both | 
21:49 |  20220207_174 |  512 |          0.1 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
21:52 |  20220207_175 |  512 |          0.1 |   1.2 |      1024 | Disabled   | Squared | Both | 
21:56 |  20220207_176 |  512 |          0.2 |   1.2 |      1024 | Disabled   | Dimers | Both | 
21:59 |  20220207_177 |  512 |          0.2 |   1.2 |      1024 | Disabled   | Trimers | Both | 
22:03 |  20220207_178 |  512 |          0.2 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
22:07 |  20220207_179 |  512 |          0.2 |   1.2 |      1024 | Disabled   | Squared | Both | 
22:10 |  20220207_180 |  512 |         0.05 |   1.6 |      1024 | Disabled   | Dimers | Both | 
22:14 |  20220207_181 |  512 |         0.05 |   1.6 |      1024 | Disabled   | Trimers | Both | 
22:18 |  20220207_182 |  512 |         0.05 |   1.6 |      1024 | Disabled   | Linear trimers | Both | 
