=== 20221024 20:43 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
16:04 | 0221024/f_222 |  128 |          0.2 |   1.2 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (84 / 288)	 Replicas: 1024000
16:58 | 0221024/f_223 |  128 |         0.05 |   1.6 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (85 / 288)	 Replicas: 1024000
18:32 | 0221024/f_224 |  128 |         0.05 |   1.6 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (86 / 288)	 Replicas: 1024000
22:35 | 0221024/f_228 |  128 |         0.05 |   1.6 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (87 / 288)	 Replicas: 1024000
00:15 | 0221024/f_229 |  128 |         0.05 |   1.6 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (88 / 288)	 Replicas: 1024000
01:14 | 0221024/f_230 |  128 |          0.1 |   1.6 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (89 / 288)	 Replicas: 16000
01:16 | 0221024/f_231 |  128 |          0.1 |   1.6 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (90 / 288)	 Replicas: 1024000
04:45 | 0221024/f_232 |  128 |          0.1 |   1.6 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (91 / 288)	 Replicas: 1024000
06:12 | 0221024/f_233 |  128 |          0.1 |   1.6 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (92 / 288)	 Replicas: 1024000
07:08 | 0221024/f_234 |  128 |          0.2 |   1.6 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (93 / 288)	 Replicas: 1024000
08:23 | 0221024/f_235 |  128 |          0.2 |   1.6 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (94 / 288)	 Replicas: 512000
09:57 | 0221024/f_237 |  128 |          0.2 |   1.6 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (95 / 288)	 Replicas: 1024000
